order_id,date,region,category,channel,quantity,unit_price,discount,revenue,month,month_num,quarter,profit_margin,profit
ORD-00001,2023-04-13,North,Furniture,In-Store,3,820.64,0.05,2338.82,Apr,4,Q2,0.166,388.24
ORD-00002,2023-12-15,East,Sports,Online,13,39.11,0.0,508.43,Dec,12,Q4,0.411,208.96
ORD-00003,2023-09-28,East,Electronics,Online,13,369.93,0.1,4328.18,Sep,9,Q3,0.383,1657.69
ORD-00004,2023-04-17,North,Electronics,Wholesale,1,587.08,0.05,557.73,Apr,4,Q2,0.282,157.28
ORD-00005,2023-03-13,West,Clothing,Online,3,84.18,0.0,252.54,Mar,3,Q1,0.353,89.15
ORD-00006,2023-07-08,West,Electronics,Online,4,1107.31,0.0,4429.24,Jul,7,Q3,0.228,1009.87
ORD-00007,2023-01-21,North,Furniture,In-Store,11,113.04,0.05,1181.27,Jan,1,Q1,0.113,133.48
ORD-00008,2023-04-13,South,Sports,Online,11,219.52,0.2,1931.78,Apr,4,Q2,0.417,805.55
ORD-00009,2023-05-02,South,Electronics,In-Store,5,864.5,0.1,3890.25,May,5,Q2,0.145,564.09
ORD-00010,2023-08-03,West,Electronics,Online,3,1128.28,0.0,3384.84,Aug,8,Q3,0.432,1462.25
ORD-00011,2023-11-27,East,Furniture,Online,6,588.7,0.0,3532.2,Nov,11,Q4,0.3,1059.66
ORD-00012,2023-03-29,South,Sports,Online,11,327.39,0.15,3061.1,Mar,3,Q1,0.207,633.65
ORD-00013,2023-04-10,South,Clothing,Wholesale,14,35.07,0.05,466.43,Apr,4,Q2,0.273,127.34
ORD-00014,2023-12-26,East,Furniture,Online,12,396.47,0.05,4519.76,Dec,12,Q4,0.276,1247.45
ORD-00015,2023-06-01,South,Electronics,Online,5,542.64,0.15,2306.22,Jun,6,Q2,0.108,249.07
ORD-00016,2023-05-11,North,Electronics,Online,3,1080.6,0.15,2755.53,May,5,Q2,0.224,617.24
ORD-00017,2023-05-30,South,Sports,Online,6,86.01,0.05,490.26,May,5,Q2,0.359,176.0
ORD-00018,2023-11-05,East,Sports,Online,6,86.2,0.0,517.2,Nov,11,Q4,0.279,144.3
ORD-00019,2023-09-15,North,Electronics,Online,14,494.99,0.0,6929.86,Sep,9,Q3,0.185,1282.02
ORD-00020,2023-12-10,South,Sports,In-Store,8,50.15,0.1,361.08,Dec,12,Q4,0.217,78.35
ORD-00021,2023-10-21,West,Food & Beverage,Online,2,15.04,0.0,30.08,Oct,10,Q4,0.402,12.09
ORD-00022,2023-07-11,North,Sports,In-Store,1,387.13,0.0,387.13,Jul,7,Q3,0.284,109.94
ORD-00023,2023-10-04,North,Furniture,In-Store,4,431.11,0.0,1724.44,Oct,10,Q4,0.285,491.47
ORD-00024,2023-06-10,West,Furniture,Online,7,598.26,0.0,4187.82,Jun,6,Q2,0.437,1830.08
ORD-00025,2023-11-10,West,Furniture,Online,11,675.41,0.05,7058.03,Nov,11,Q4,0.212,1496.3
ORD-00026,2023-01-22,South,Food & Beverage,In-Store,10,25.18,0.05,239.21,Jan,1,Q1,0.268,64.11
ORD-00027,2023-09-10,South,Electronics,In-Store,3,304.59,0.0,913.77,Sep,9,Q3,0.384,350.89
ORD-00028,2023-08-24,East,Electronics,Online,3,366.91,0.0,1100.73,Aug,8,Q3,0.366,402.87
ORD-00029,2023-12-11,East,Clothing,Wholesale,5,76.39,0.15,324.66,Dec,12,Q4,0.193,62.66
ORD-00030,2023-02-18,North,Food & Beverage,Online,5,39.98,0.0,199.9,Feb,2,Q1,0.153,30.58
ORD-00031,2023-02-28,West,Electronics,Online,13,568.19,0.1,6647.82,Feb,2,Q1,0.345,2293.5
ORD-00032,2023-06-19,West,Food & Beverage,Online,10,5.37,0.15,45.64,Jun,6,Q2,0.19,8.67
ORD-00033,2023-07-07,East,Sports,Wholesale,3,223.66,0.0,670.98,Jul,7,Q3,0.423,283.82
ORD-00034,2023-09-28,North,Electronics,In-Store,9,1117.59,0.05,9555.39,Sep,9,Q3,0.145,1385.53
ORD-00035,2023-07-09,North,Food & Beverage,In-Store,4,49.66,0.15,168.84,Jul,7,Q3,0.211,35.63
ORD-00036,2023-06-24,East,Clothing,Online,13,168.54,0.0,2191.02,Jun,6,Q2,0.119,260.73
ORD-00037,2023-02-20,East,Sports,Online,13,324.17,0.05,4003.5,Feb,2,Q1,0.346,1385.21
ORD-00038,2023-12-30,East,Electronics,Online,3,489.92,0.0,1469.76,Dec,12,Q4,0.412,605.54
ORD-00039,2023-02-24,South,Food & Beverage,In-Store,11,47.09,0.0,517.99,Feb,2,Q1,0.323,167.31
ORD-00040,2023-09-01,North,Food & Beverage,Online,2,12.87,0.1,23.17,Sep,9,Q3,0.428,9.92
ORD-00041,2023-11-16,North,Sports,Online,10,273.35,0.15,2323.48,Nov,11,Q4,0.145,336.9
ORD-00042,2023-05-11,North,Food & Beverage,Online,13,40.29,0.1,471.39,May,5,Q2,0.131,61.75
ORD-00043,2023-11-03,East,Furniture,Wholesale,11,100.97,0.0,1110.67,Nov,11,Q4,0.393,436.49
ORD-00044,2023-05-15,East,Food & Beverage,Online,9,48.34,0.0,435.06,May,5,Q2,0.399,173.59
ORD-00045,2023-01-21,East,Sports,Online,4,364.2,0.05,1383.96,Jan,1,Q1,0.391,541.13
ORD-00046,2023-11-25,East,Furniture,Online,3,299.28,0.0,897.84,Nov,11,Q4,0.38,341.18
ORD-00047,2023-06-16,West,Electronics,Wholesale,7,1003.01,0.05,6670.02,Jun,6,Q2,0.227,1514.09
ORD-00048,2023-10-01,East,Sports,Wholesale,8,60.49,0.05,459.72,Oct,10,Q4,0.176,80.91
ORD-00049,2023-03-30,South,Food & Beverage,In-Store,11,38.0,0.05,397.1,Mar,3,Q1,0.425,168.77
ORD-00050,2023-11-12,West,Food & Beverage,Online,14,31.71,0.05,421.74,Nov,11,Q4,0.207,87.3
ORD-00051,2023-01-14,West,Electronics,Online,2,723.22,0.0,1446.44,Jan,1,Q1,0.239,345.7
ORD-00052,2023-08-30,East,Food & Beverage,Wholesale,7,55.94,0.0,391.58,Aug,8,Q3,0.345,135.1
ORD-00053,2023-09-22,North,Clothing,Online,12,176.84,0.0,2122.08,Sep,9,Q3,0.203,430.78
ORD-00054,2023-12-12,East,Food & Beverage,Online,5,48.18,0.05,228.86,Dec,12,Q4,0.387,88.57
ORD-00055,2023-02-22,North,Electronics,Online,11,437.38,0.05,4570.62,Feb,2,Q1,0.125,571.33
ORD-00056,2023-12-06,East,Food & Beverage,Wholesale,5,55.15,0.1,248.18,Dec,12,Q4,0.377,93.56
ORD-00057,2023-04-02,East,Sports,Online,3,66.08,0.1,178.42,Apr,4,Q2,0.311,55.49
ORD-00058,2023-09-21,North,Electronics,In-Store,5,1046.0,0.2,4184.0,Sep,9,Q3,0.301,1259.38
ORD-00059,2023-02-04,North,Sports,In-Store,12,151.42,0.0,1817.04,Feb,2,Q1,0.26,472.43
ORD-00060,2023-07-25,North,Clothing,Online,2,29.68,0.0,59.36,Jul,7,Q3,0.197,11.69
ORD-00061,2023-03-22,North,Sports,Online,4,277.66,0.0,1110.64,Mar,3,Q1,0.262,290.99
ORD-00062,2023-02-19,South,Food & Beverage,Wholesale,6,17.72,0.1,95.69,Feb,2,Q1,0.258,24.69
ORD-00063,2023-12-26,North,Furniture,Wholesale,1,279.73,0.0,279.73,Dec,12,Q4,0.304,85.04
ORD-00064,2023-01-02,East,Food & Beverage,In-Store,10,21.83,0.1,196.47,Jan,1,Q1,0.199,39.1
ORD-00065,2023-02-23,East,Sports,In-Store,4,53.56,0.05,203.53,Feb,2,Q1,0.127,25.85
ORD-00066,2023-04-16,South,Clothing,Online,6,51.88,0.15,264.59,Apr,4,Q2,0.151,39.95
ORD-00067,2023-09-17,North,Clothing,Wholesale,9,20.93,0.15,160.11,Sep,9,Q3,0.345,55.24
ORD-00068,2023-11-06,East,Food & Beverage,Online,14,29.5,0.0,413.0,Nov,11,Q4,0.108,44.6
ORD-00069,2023-07-10,South,Food & Beverage,In-Store,11,9.63,0.0,105.93,Jul,7,Q3,0.4,42.37
ORD-00070,2023-08-06,East,Food & Beverage,Wholesale,11,42.55,0.05,444.65,Aug,8,Q3,0.343,152.51
ORD-00071,2023-02-13,South,Food & Beverage,In-Store,13,17.96,0.0,233.48,Feb,2,Q1,0.369,86.15
ORD-00072,2023-06-11,South,Clothing,In-Store,2,189.84,0.0,379.68,Jun,6,Q2,0.393,149.21
ORD-00073,2023-07-21,West,Food & Beverage,In-Store,11,52.92,0.05,553.01,Jul,7,Q3,0.143,79.08
ORD-00074,2023-09-27,West,Electronics,Online,7,453.91,0.0,3177.37,Sep,9,Q3,0.388,1232.82
ORD-00075,2023-12-17,North,Furniture,In-Store,6,722.24,0.05,4116.77,Dec,12,Q4,0.277,1140.35
ORD-00076,2023-10-31,West,Electronics,Online,2,993.41,0.05,1887.48,Oct,10,Q4,0.41,773.87
ORD-00077,2023-09-28,South,Clothing,In-Store,8,197.58,0.0,1580.64,Sep,9,Q3,0.41,648.06
ORD-00078,2023-08-03,East,Clothing,Online,7,127.61,0.0,893.27,Aug,8,Q3,0.108,96.47
ORD-00079,2023-09-09,East,Clothing,Online,11,34.75,0.0,382.25,Sep,9,Q3,0.234,89.45
ORD-00080,2023-07-09,North,Food & Beverage,In-Store,5,40.58,0.1,182.61,Jul,7,Q3,0.284,51.86
ORD-00081,2023-10-23,West,Clothing,Wholesale,12,132.5,0.0,1590.0,Oct,10,Q4,0.337,535.83
ORD-00082,2023-08-01,North,Clothing,Online,5,134.9,0.15,573.32,Aug,8,Q3,0.2,114.66
ORD-00083,2023-07-27,South,Electronics,In-Store,7,472.5,0.0,3307.5,Jul,7,Q3,0.188,621.81
